A1 A2 A3 A4 A5 A6 A7 A8 A9 A10
0.0035643508583227505 0.010966034180175577 0.009312701400720946 0.008237581753466805 0.008408335510737204 -0.010920831928114333 -0.00048288200848351127 0.0020852766961462826 -0.0026633798676568617 -0.00037024207670944095
-0.010960588406305944 -0.009776135152055176 0.008425990615101506 0.006396784187961214 -0.0023202891611456165 -0.010753380175435184 -0.012695974139841065 0.008030688610664718 0.0038885858935705543 -0.004740238172599913
-0.011673529624012755 0.008763667423414988 -0.01691524284482909 0.01718980710025183 -0.005860794814003966 -0.0044153011273104234 0.005039030831723299 -0.012666740512547774 -0.0047849694228736415 -0.0003780891871768597
-0.013986172368539931 0.010148137609778441 0.007943072647932443 0.001427554384188886 0.017156349256331006 0.0005274451766300444 0.0060446663266789545 -0.008535852255116052 -0.01601704612281911 -0.0007917621875295594
-0.00858113837976822 -0.0005113251306426772 -0.010389581796548425 -0.0013448967862658189 0.0006064717953051073 -0.01436368011729798 0.0055441212010178135 0.015333746780273423 0.0020985319821906386 -0.0024644706210482266
0.015177230871445126 0.01062691941053749 0.009317505908823779 -0.009149012218844323 0.008773552276282535 -0.011707498758475885 0.010674564723125725 0.011181092646038155 -0.009635159674870471 -0.01587012842914063
-0.003938634233682241 -0.007235164538567771 -0.0016607063410267432 -0.013136824208746097 -0.009914595342649919 -0.008522243125843104 -0.001741746237769127 0.005663648942183772 0.0037861008759174073 -0.00772770259753799
0.012011696385873117 -0.023929228125226326 -0.0068111533090152955 -0.006034868091754947 0.011786891844310279 -0.0013621141445419977 0.01990931920269628 -0.014147541513869079 0.006325462538393025 -0.014186880410029483
0.011796809526578158 0.018197859754067788 0.017648594888609228 0.0011729485901528758 0.005450729981638122 -0.009990008926769562 0.019837515793430918 -0.004957122007027186 -0.00944381506984196 -0.006465630384993041
-0.0018853364167241132 -0.0048887802395062505 -0.012127865011852326 -0.009074058240317835 -0.0034172295574058337 -0.005480288673981263 -0.015877604211756394 -0.024273371384812177 -0.009276839106571346 -0.004216600516572171
-0.008120597809204924 -0.00814738475075458 0.008119730756421802 0.006749382243447549 -0.020793634542082707 0.013025835562114164 -0.002639044636861749 -0.008893682574199294 0.016185535298980175 0.0019435532816128242
